feedback_id,customer_id,feedback_text,source,product_category,rating,timestamp
FB_0000,CUST_0000,Product stopped working after two days. Quality control seems non-existent. Overall satisfied.,survey,Books,1,2025-06-24 08:40:51.227270
FB_0001,CUST_0000,Worst online shopping experience ever. Product was defective and customer service was rude.,phone,Sports,1,2025-06-21 17:43:51.227291
FB_0002,CUST_0000,Received wrong item and getting a replacement has been a nightmare. Poor service overall. Highly recommend.,review,Electronics,2,2025-05-28 12:28:51.227298
FB_0003,CUST_0001,Fast shipping and perfect packaging. The item arrived exactly as described. Overall satisfied.,website,Sports,5,2025-06-11 04:42:51.227305
FB_0004,CUST_0001,Great value for money! The product exceeded my expectations and works perfectly.,review,Sports,5,2025-06-14 11:30:51.227312
FB_0005,CUST_0001,Amazing quality and design. The product is even better than the photos showed. Will shop again.,survey,Books,4,2025-05-30 04:20:51.227318
FB_0006,CUST_0002,Very disappointed with this purchase. The product broke after just one week of normal use. Thanks!,social_media,Clothing,2,2025-06-14 00:03:51.227324
FB_0007,CUST_0002,Fast shipping and perfect packaging. The item arrived exactly as described. Will shop again.,website,Books,5,2025-05-09 06:19:51.227330
FB_0008,CUST_0002,"Standard delivery time and packaging. Product works as expected, nothing special. Overall satisfied.",survey,Sports,3,2025-05-24 10:57:51.227334
FB_0009,CUST_0003,Worst online shopping experience ever. Product was defective and customer service was rude.,chat,Books,1,2025-05-06 22:01:51.227340
FB_0010,CUST_0003,Excellent customer service team. They resolved my issue within minutes and were very professional.,chat,Automotive,4,2025-07-18 21:15:51.227345
FB_0011,CUST_0003,Great value for money! The product exceeded my expectations and works perfectly. Thanks!,review,Clothing,4,2025-05-27 01:20:51.227349
FB_0012,CUST_0004,Excellent website experience. Easy to navigate and checkout was smooth.,chat,Home & Garden,4,2025-04-30 19:23:51.227354
FB_0013,CUST_0004,Received wrong item and getting a replacement has been a nightmare. Poor service overall. Thanks!,survey,Books,1,2025-06-10 23:07:51.227358
FB_0014,CUST_0004,Great value for money! The product exceeded my expectations and works perfectly.,survey,Beauty,5,2025-07-02 06:05:51.227362
